BIBLIOGRAFÍA	AUTOR	TÍTULO	FECHA	CRITERIO	BLOQUE	MEDIO	SOPORTE	TEMA	PAÍS	ZONA	TIPOLOGÍA	NOTAS	CONCORDANCIA
Vicent, Manuel: Verás el cielo abierto. Madrid: Alfaguara, 2005.	Vicent, Manuel	Verás el cielo abierto	2005	Primera edición	Ficción	Escrito	Libro	Novela	España		Ficción		se hallan incólumes en los bodegones de Zurbarán y así se muestran ahora en el frutero pegado con garras de alambre que está sobre la mesa de la cocina de mi casa de Denia donde escribo estos recuerdos, que podrán servir de pasto para mi psicólogo. Es el frutero de la abuela Roseta partido en dos por la esquirla de obús. Lo he conservado como un símbolo de la guerra civil; a lo largo de tantos años lo he ido cargando con las frutas de cada temporada, pomelos, melocotones, claudias, cerezas, como una redención de aquella crueldad. Ahora contiene los cinco primeros membrillos de la cosecha de este otoño.
Vicent, Manuel: Verás el cielo abierto. Madrid: Alfaguara, 2005.	Vicent, Manuel	Verás el cielo abierto	2005	Primera edición	Ficción	Escrito	Libro	Novela	España		Ficción		ni pájaro ensangrentado en el zurrón, pero lleno de frutos silvestres, me llevó a visitar la cueva donde se conservaba incorrupto el cadáver de un moro del ejército franquista a quien un teniente de Regulares ejecutó con un tiro en la nuca en medio de la plaza del pueblo. Sucedió inmediatamente después de que aquella esquirla de obús perforara la olla de la abuela Roseta y rompiera el frutero de la cocina abriendo camino a las tropas nacionales que entraron en el pueblo. El moro llegó en uno de los camiones de Intendencia y era el encargado de repartir algunas chocolatinas entre los niños.
Montero Glez: Manteca colorá. Madrid: Taller de Mario Muchnik, 2005.	Montero Glez	Manteca colorá	2005	Primera edición	Ficción	Escrito	Libro	Novela	España		Ficción		Los fogonazos iluminan la noche y las balas le buscan los cojones. Ziaaiiing. Ziaaiiing. Las esquirlas de cristal azotan su cara y un granizado de vidrio cruje bajo sus pies. Tuvo que ser el Moquillo el que le cerrase paso. Cortándole no sólo el camino sino también el aliento, plantándose frente a él, pero a una prudente distancia, todo sea dicho, pues de todos era sabido que el Roque
Cobos Wilkins, Juan: «Último tren a la Luna». Siete parejas y un solitario. Barcelona: Plaza & Janés, 2005.	Cobos Wilkins, Juan	Siete parejas y un solitario	2005	Primera edición	Ficción	Escrito	Libro	Relato	España		Ficción		de esos borrachos que meriendan muerte, apedreara —¿por qué?— a su paso este tren y entre insultos —¿por qué?— la furia ebria de sus pedradas, su violencia, su locura, el veneno de su incomprensible odio, me quebrara. Partido. Roto. Trizado. Hiriente cristal de esquirlas.
Cobos Wilkins, Juan: «Cadáveres tan hermosos». Siete parejas y un solitario. Barcelona: Plaza & Janés, 2005.	Cobos Wilkins, Juan	Siete parejas y un solitario	2005	Primera edición	Ficción	Escrito	Libro	Relato	España		Ficción		Pero las consecuencias del golpe —brutal: de frente— contra aquel camión español que transportaba fresas fueron irreversibles. Con la columna vertebral destrozada, como si hubiese sido una varita de cristal hecha añicos, esquirlas, quedó tumbado entre una multitud de pequeños corazones jugosos, la sangre vegetal mezclada con la suya, que manaba entre los jirones de su traje de cuero, y ambos rojos —fresas y hematíes— fundidos y extendiéndose por el recalentado asfalto del túnel. Las luces de la policía, los faros deslumbrantes de
«El mundo en breve». La Prensa.com.ni. Managua: laprensa.com.ni, 2005-02-14.		La Prensa.com.ni	2005	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	Nicaragua	México y Centroamérica			"Tenemos un individuo herido como resultado de un impacto de bala", dijo el capitán de la policía estatal Wayne Olson a la prensa. "Tenemos una posible segunda víctima herida por esquirlas o fragmentos de vidrio", agregó.
López R., Guísela: «Charagua, a 70 años de su liberación del ejército 'pila'». Eldeber.com.bo. Santa Cruz de la Sierra: eldeber.com.bo, 2005-04-22.	López R., Guísela	Eldeber.com.bo	2005	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	Bolivia	Andina	Noticia		El cuadro escénico no fue nuevo para los habitantes, ya que la gente sabía cuál era la siguiente representación. Es que en Charagua la historia de la guerra con el Paraguay está latente. En la esquina de la plaza principal sigue erguida una vivienda de la época donde todavía están incrustadas las esquirlas de granadas de guerra que lanzaron los paraguayos, y cada uno de sus jóvenes cuenta fragmentos de la contienda como si hubiesen sido protagonistas.
Montiel Figueiras, Mauricio: «El terrorista minucioso». Letras Libres. México D. F.: letraslibres.com, 2005-04.	Montiel Figueiras, Mauricio	Letras Libres	2005	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	México	México y Centroamérica		Periodicidad: mensual	En efecto: al igual que su coterráneo Haruki Murakami, con quien no comparte más vínculo que el apellido, Ryu ha hecho del mundanal caos un orden escritural que casi nunca se puede predecir y que por ende estalla con la fuerza de una bomba de tiempo fabricada por un terrorista meticuloso, capaz de hallar esquirlas poéticas en medio de la sordidez. Nacido en 1952 en el puerto de Sasebo, sede de una base naval norteamericana, Murakami entró en contacto desde pequeño con esa parcela de la cultura occidental que lo marcaría para siempre; no obstante, fiel a su espíritu de rebelde con causa, protestó contra la presencia militar de Estados Unidos
Martí, Octavi: «Rota en mil pedazos». El País.com. Madrid: elpais.com, 2005-06-04.	Martí, Octavi	El País.com	2005	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	España				La firma francesa Saint Gobain inventó en 1939 un tipo de cristal dos veces y media más resistente que el que había entonces y que no se rompía en esquirlas cortantes, sino en miles de pedazos de forma geométrica. Así nació el Duralex, un cristal templado y prensado, calentado a 600 grados y luego enfriado de manera súbita, que sirvió, una vez acabada la II Guerra Mundial, para reponer todas las vajillas destruidas por las bombas. Pero las dos plantas francesas que
«Esquirlas morales». El País.com. Cine. Madrid: elpais.com/cine, 2005-06-10.		El País.com. Cine	2005	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	España				palabras podrían suscribirse ahora que llega a las pantallas A good woman, versión cinematográfica de El abanico de Lady Windermere, dirigida por Mike Barker. En este caso incluso con más razón, pues, más allá del divertimento que suponen ambas obras de Wilde, El abanico... es una pieza de mayor enjundia, con más esquirlas morales y mayor transgresión social que La importancia...
Torbado, Jesús: «Mina de oro de los romanos». El Mundo.es. Viajes. Madrid: elmundo.es/suplementos/viajes, 2005-06.	Torbado, Jesús	El Mundo.es. Viajes	2005	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Periodicidad: mensual	celta o de cualquier otro retoño étnico, vivía en auténticos campamentos mineros, conforme al tipo de trabajo que desarrollaban. Mientras unos fabricaban las complejas herramientas necesarias para los distintos sistemas de explotación, otros se ocupaban de los víveres, de excavar túneles o abrir canales, de cerner los aluviones y buscar en sus entrañas las esquirlas de oro.
